00	und
02	ch
03	gemäß
05	ab
06	da
09	würde
11	da
12	daß
14	zi
26	dies
29	der
41	hof
44	an
53	mahl
54	un
55	hand
59	der
63	genau
64	voll
65	e
66	me
72	qua
74	bo
94	mit
95	en
99	er
30000	ich
31006	fo
31010	ge/gn/gen
31014	zeit
31016	H
31031	mi
31033	heit
31034	i
31042	eb
31051	fe
31057	Euer
31065	Euer Excellenz
31070	fr/Bericht
31073	in
31075	aus
31086	ig
31087	ho
31089	nu
31090	at
31091	woll
31117	geb
31126	gn/gen
31142	scho
31144	krieg
31151	ge
31157	n
31162	schaff
31167	und
31182	französ
31183	no
31200	eh
31201	schluß
31208	übr
31210	den
31218	gl
31222	m
31225	ser
31228	r
31238	t
31239	Frankreich
31246	se
31259	t
31264	fa
31272	n
31274	al
31275	en
31278	ca
31280	durch
31282	t
31286	ch
31291	ung
31299	ei
31300	te/ten/ter
31301	könnte
31304	leicht
31306	von
31307	n
31315	wa
31320	erst
31325	mir
31326	d
31329	bund/brud?
31330	le
31334	r
31342	ver
31345	Spanien
31361	laß
31365	sich
31377	st
31384	gi
31389	ü
31397	Preuss
31399	Engelland
31400	von
31403	mach
31405	berg
31408	ne
31437	wo
31448	zu
31449	groß
31455	Courier
31456	wird
31457	viel
31458	theil
31460	den
31466	zu
31475	z
31498	o
31500	seh[r]
