00	das
01	die
02	franz
03	ganz
06	mit
8	∅
09	declara/tion
11	französisch
12	unterstütz
13	armee
14	garan
16	A
17	Grossvezier
21	oder
22	secret
26	leg
41	Subsidien-tractat
43	mittelst
44	leicht
52	des/den
53	re
54	für/sten
55	Ferralle
59	ren
62	t
63	bald
66	e
69	als
70	durch
72	kunft
73	nach
74	leicht
90	r
93	hab
94	interess
95	n
97	religion
99	man
30000	und
31000	ab
31004	fried
31005	an
31006	wenn
31010	König-v.-Sicilien
31014	jetzt
31016	nimmer
31019	noch
31027	at
31031	che
31033	ge
31034	Hof-Königin-v.-Neapel
31036	Krieg
31041	ist
31042	hau
31047	den
31057	correspond
31058	en
31060	ben
31061	er
31062	ei
31070	Hitzig/haft
31073	sich
31075	st
31078	nun
31079	i
31080	mach
31084	mo
31085	ren
31087	infant
31089	zu
31090	zwischen
31091	theil
31099	o
31101	be
31106	der
31109	der
31112	ein
31113	en
31115	ge
31116	h
31117	hat
31118	hoff
31119	i
31121	ich
31122	me
31126	in
31127	la
31130	in
31136	l
31142	relat/ion
31144	nicht
31149	sehr
31151	m/Fleming
31154	s
31157	doch
31158	fa
31159	so
31162	t
31163	weder
31164	te
31167	ir
31168	u
31169	le
31170	im
31171	ver?
31181	werden
31182	wen
31183	X/Ensenada
31184	ver
31191	groß
31197	bi
31201	che
31208	mahl
31210	mer
31211	be
31214	lich
31216	resolution
31217	stat?
31218	nur
31220	richt
31222	spr
31223	ng
31225	Oesterreich
31226	selb
31228	ig
31238	ca
31239	mach
31240	en
31246	ni
31247	eh
31257	t
31259	sag
31262	te
31263	mög/lich
31264	brauch
31265	n
31268	mir
31271	sch
31272	nicht
31274	lang
31278	pe/les
31280	müß/lich
31281	von
31282	Frey
31286	Danzig
31287	vor
31291	Y/Marseille
31293	dem
31299	lo
31300	von
31301	zweifel
31303	uns
31304	zi
31306	hoff
31307	fir
31312	das
31314	fo
31315	ck
31318	ein
31320	Admiralität
31325	ber
31326	aus
31328	ho
31329	junct
31330	rt
31333	geben
31334	li
31338	letzt
31342	gen
31345	bau
31346	or
31348	ste
31350	gl
31359	al
31361	corps
31364	fl
31365	do
31368	s
31372	gn
31377	inn
31378	sti
31380	solch
31382	halt
31383	off
31384	qu/ot
31389	die
31391	we?
31394	zu/zeig
31395	to
31397	mein
31399	ti
31403	befind
31405	dies
31406	eg
31408	hand
31413	er
31420	ich
31424	rath
31427	lan/lang/lau?
31428	ro
31429	es
31433	ir
31437	so
31438	tr
31443	so
31447	s
31448	üben
31449	Truppen
31451	ser
31452	fu
31453	u/uc/uck
31455	vi
31456	ue
31457	Chev.-Vergennes
31458	fr
31460	und
31462	ung
31466	wa
31471	Spanien
31475	ul
31484	wei
31490	re
31492	viel
31498	gleich
31500	trau
