row	cipher_position	symbol	literal	grade	basis
P1.C01	1	op	co	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C01	2	fu	mu	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C01	3	47	ni	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C01	4	ap	ca	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C01	5	tis	bi	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C01	6	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C01	7	hi	di	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C01	8	41	le	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C01	9	x	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C01	10	pli	ti	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C01	11	21	o	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C01	12	47	ni	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C01	13	23	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C01	14	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C01	15	25	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C01	16	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C01	17	c	r	I	Image/context-assisted source-label amendment; see R1890-review.tsv
P1.C01	18	o	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C01	19	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C01	20	f	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C01	21	50	ra	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
